"","cv","val","cv.p","val.p","model","KLD.pr","KLD.pr2","KLD.roc","KS.pr","KS.pr2","KS.roc","KSp.pr","KSp.pr2","KSp.roc","area.pr","area.roc","dist.pr.mean","dist.pr.max","dist.roc.mean","fileIdx"
"24",1,2,0,0.25,2,0.395823712218422,0.398290197091296,0.134320443036649,0.3125,0.3125,0.4375,0.0876820974182007,0.0876820974182007,0.00437498219057109,0.014317553705873,0.0186491932201159,-0.0864600658221657,0.146315789473684,-Inf,"25"
"34",1,2,0,0.25,3,0.164046085543942,0.174015583107808,0.0653438947848411,0.625,0.625,0.21875,3.58416614720802e-06,3.58416614720802e-06,0.42815886261543,0.0225742018492376,0.0125678835886066,-0.0876601801265882,0.169450549450549,-Inf,"25"
"211",1,3,0,0.5,1,0.170548052669578,0.170634207626403,0.174411070452584,0.65625,0.65625,0.59375,8.11509316633874e-07,8.11509316633874e-07,1.43366645879439e-05,0.0336775378728182,0.0154924702915976,-0.16593080375443,0.224938271604938,-Inf,"25"
"221",1,3,0,0.5,2,0.0865440361202986,0.0845894160380309,0.118822867758724,0.8125,0.8125,0.28125,8.1822215669547e-11,8.1822215669547e-11,0.160069453002213,0.0437227647070468,0.0140374223021736,-0.17237487185479,0.240253164556962,-Inf,"25"
"231",1,3,0,0.5,3,0.0775557996045795,0.0718995455445372,0.0578197458492389,0.78125,0.78125,0.40625,6.77953027050648e-10,6.77953027050648e-10,0.0101721371237081,0.0551594356205519,0.0110218421915767,-0.176615743957424,0.273333333333333,-Inf,"25"
"311",1,4,0,0.75,1,0.0220910463238082,0.0216328546924794,0.0187140722047194,0.78125,0.78125,0.875,6.77953027050648e-10,6.77953027050648e-10,6.93667345785798e-13,0.0594425272930809,0.0211641182488937,-0.245785646644116,0.300412371134021,-Inf,"25"
"321",1,4,0,0.75,2,0.288842326710973,0.287566962512626,0.148887837801539,0.84375,0.84375,0.6875,8.32112156956555e-12,8.32112156956555e-12,1.65307453503516e-07,0.0652820057319483,0.0280413095102124,-0.250382355086682,0.296767676767677,-Inf,"25"
"331",1,4,0,0.75,3,0.0791351931088739,0.0752454957947635,0.115744516431289,0.96875,0.96875,0.375,2.22044604925031e-16,2.22044604925031e-16,0.0222179626165252,0.0797147939619255,0.024448016306089,-0.26384028898206,0.405714285714286,-Inf,"25"
"43",1,5,0,1,1,0.223224060360775,0.228292229557182,0.043119700660884,0.9375,0.90625,0.90625,2.44249065417534e-15,4.57411886145564e-14,7.71305241897835e-12,0.0820456712414926,0.0310340165087147,-0.309201116965137,0.332765957446808,-Inf,"25"
"411",1,5,0,1,2,0.161532561900273,0.160976868171457,0.156745486657099,1,1,0.75,2.22044604925031e-16,2.22044604925031e-16,4.83041318055655e-09,0.0886059869378223,0.0337116082515567,-0.315766760730321,0.364444444444444,-Inf,"25"
"421",1,5,0,1,3,0.0900478263110617,0.0900035908776668,0.104732972239267,1,1,0.40625,2.22044604925031e-16,2.22044604925031e-16,0.0101721371237081,0.100453900126949,0.032888322855912,-0.322679890518129,0.417619047619048,-Inf,"25"
"53",2,1,0.25,0,1,0.375184756293954,0.372559384740948,0.0831858720983261,0.441176470588235,0.470588235294118,0.529411764705882,0.00235591552614411,0.000895247899956875,0.000103297834611049,0.080214048579055,0.0131056163326324,0.0838293312997547,0.14327485380117,-Inf,"25"
"511",2,1,0.25,0,2,0.181863856419132,0.182473666706219,0.024416054704307,0.411764705882353,0.411764705882353,0.352941176470588,0.00577199303149878,0.00577199303149878,0.0289510162971944,0.0750121800910907,0.0113460625521427,0.0790197811881139,0.126428975664969,-Inf,"25"
"521",2,1,0.25,0,3,0.15320044377839,0.158246946143376,0.0249500001381474,0.558823529411765,0.558823529411765,0.205882352941176,3.11842519582495e-05,3.11842519582495e-05,0.472802434759994,0.0726040735033171,0.0109195992251255,0.0866631252851983,0.161282516636419,-Inf,"25"
"63",2,3,0.25,0.5,1,0.0280637315400189,0.0298480964221595,0.110384265661401,0.5,0.5,0.0882352941176471,0.000315969847043851,0.000315969847043851,0.999609246654957,0.0808015020405276,0.00949364969615876,-0.0840071153946128,0.127402597402597,-Inf,"25"
"611",2,3,0.25,0.5,2,0.0451507832173853,0.0434256048750175,0.0731897086457445,0.588235294117647,0.588235294117647,0.264705882352941,8.66229221130332e-06,8.66229221130332e-06,0.184520771124363,0.082399747743449,0.00873393788665526,-0.0887320141930886,0.151621621621622,-Inf,"25"
"621",2,3,0.25,0.5,3,0.182192677827146,0.176548438884027,0.0896390879393814,0.558823529411765,0.558823529411765,0.264705882352941,3.11842519582495e-05,3.11842519582495e-05,0.185919792182348,0.0815462327487351,0.00838597322021035,-0.0907708834751333,0.196666666666667,-Inf,"25"
"73",2,4,0.25,0.75,1,0.140977744563605,0.139467280091899,0.0799353139563564,0.558823529411765,0.558823529411765,0.529411764705882,3.11842519582495e-05,3.11842519582495e-05,0.000103297834611049,0.0897640124318439,0.0106569692661934,-0.162720372785043,0.189574468085106,-Inf,"25"
"711",2,4,0.25,0.75,2,0.143953485995215,0.143862250062638,0.0679535663053436,0.558823529411765,0.558823529411765,0.323529411764706,3.11842519582495e-05,3.11842519582495e-05,0.0569432893091164,0.0920636649965596,0.0109235147372551,-0.166358586976017,0.200212765957447,-Inf,"25"
"721",2,4,0.25,0.75,3,0.138783065673115,0.141782573245866,0.0301015009142088,0.852941176470588,0.852941176470588,0.352941176470588,7.33191285462453e-13,7.33191285462453e-13,0.0281852962215617,0.0966605139002044,0.0106049600626547,-0.169728593725839,0.24264367816092,-Inf,"25"
"83",2,5,0.25,1,1,0.0631713598788548,0.0646818259461221,0.0438403853580535,0.823529411764706,0.823529411764706,0.705882352941176,7.69406760525726e-12,7.69406760525726e-12,8.7815370419797e-08,0.0990986545240319,0.0124005009725638,-0.22651157878277,0.245909090909091,-Inf,"25"
"811",2,5,0.25,1,2,0.118881800854945,0.118435936988669,0.21548002790543,0.882352941176471,0.882352941176471,0.411764705882353,5.78426195829707e-14,5.78426195829707e-14,0.00627263515551757,0.102044480105525,0.0117492078665796,-0.232557147423758,0.274186046511628,-Inf,"25"
"821",2,5,0.25,1,3,0.202303858222045,0.208451527099527,0.245457847367785,0.911764705882353,0.911764705882353,0.264705882352941,3.99680288865056e-15,3.99680288865056e-15,0.185919792182348,0.10662194014918,0.0115747942755833,-0.23513684278597,0.3175,-Inf,"25"
"93",3,1,0.5,0,1,0.221108439034727,0.217427208788081,0.0713584323371872,0.785714285714286,0.785714285714286,0.464285714285714,8.48993320090585e-09,8.48993320090585e-09,0.00478357492937453,0.0499393879317034,0.00799841421439559,0.166211450757509,0.226086956521739,-Inf,"25"
"911",3,1,0.5,0,2,0.0102751412077538,0.0102223049160589,0.046061083722165,0.75,0.75,0.285714285714286,6.06423797844258e-08,6.06423797844258e-08,0.20527832022526,0.0443561214249866,0.00800653158598428,0.176030018337003,0.253754940711462,-Inf,"25"
"921",3,1,0.5,0,3,0.107484768249495,0.106457357884103,0.161191475229728,0.857142857142857,0.857142857142857,0.357142857142857,9.60400647898041e-11,9.60400647898041e-11,0.0555197171287634,0.0403809672427795,0.00733616780420342,0.182571719228712,0.284057971014493,-Inf,"25"
"103",3,2,0.5,0.25,1,0.105471715972213,0.104958331370764,0.0933211860358377,0.5,0.5,0.178571428571429,0.00151783678195128,0.00151783678195128,0.773166661079054,0.0376107140877338,0.00853773712556794,0.0871881903371105,0.141482537419815,-Inf,"25"
"1011",3,2,0.5,0.25,2,0.0620690050004027,0.0632504232399172,0.021478459144489,0.678571428571428,0.678571428571428,0.392857142857143,1.98098440518102e-06,1.98098440518102e-06,0.0256246477700698,0.035261026129653,0.00897123185079905,0.0901609730644176,0.169150521609538,-Inf,"25"
"1021",3,2,0.5,0.25,3,0.0421488013123565,0.0411529348051903,0.142047177035922,0.392857142857143,0.428571428571429,0.321428571428571,0.0256246477700698,0.0108904788144613,0.111030866499989,0.0337671191567248,0.00851006025822074,0.0916884829846815,0.199453551912568,-Inf,"25"
"113",3,4,0.5,0.75,1,0.125826905828437,0.125449052587858,0.126252175734797,0.214285714285714,0.214285714285714,0.642857142857143,0.549366998032041,0.549366998032041,9.31062670450622e-06,0.0371870312912896,0.0100083909519129,-0.0786771818971913,0.105172413793103,-Inf,"25"
"1111",3,4,0.5,0.75,2,0.0390765585095589,0.0380117470264309,0.096810758175696,0.214285714285714,0.214285714285714,0.607142857142857,0.549366998032041,0.549366998032041,3.89353480356736e-05,0.037917471302323,0.0107704788664156,-0.073993727321371,0.113716814159292,-Inf,"25"
"1121",3,4,0.5,0.75,3,0.0765435285726693,0.0725332996288378,0.287781685104223,0.392857142857143,0.392857142857143,0.285714285714286,0.0256246477700698,0.0256246477700698,0.20527832022526,0.0401631248548988,0.0103125731829374,-0.0712042425391205,0.125675675675676,-Inf,"25"
"123",3,5,0.5,1,1,0.0156312806541499,0.0158942452670628,0.0657791829994031,0.5,0.5,0.607142857142857,0.00151783678195128,0.00151783678195128,3.89353480356736e-05,0.0420912233060226,0.0111914895072916,-0.144521277380513,0.183333333333333,-Inf,"25"
"1211",3,5,0.5,1,2,0.162052700306185,0.160801444078309,0.0772754008903775,0.5,0.5,0.607142857142857,0.00151783678195128,0.00151783678195128,3.89353480356736e-05,0.0432462159624329,0.0115054241105871,-0.14135661328832,0.190384615384615,-Inf,"25"
"1221",3,5,0.5,1,3,0.114397508801196,0.114281198659249,0.125109617553648,0.571428571428571,0.571428571428571,0.214285714285714,0.000146007555135053,0.000146007555135053,0.549366998032041,0.045240447423886,0.0117736634565654,-0.142420148831484,0.258510638297872,-Inf,"25"
"133",4,1,0.75,0,1,0.10784836548321,0.106323620451809,0.294566913953611,0.818181818181818,0.787878787878788,0.787878787878788,2.51709764143015e-11,2.15748530152382e-10,2.53847765030457e-09,0.0352042121987788,0.0109472778270476,0.241886889697602,0.275510204081633,-Inf,"25"
"1311",4,1,0.75,0,2,0.071248494159295,0.0748816742077175,0.0144832653222025,0.757575757575758,0.757575757575758,0.636363636363636,1.59114343922795e-09,1.59114343922795e-09,1.36378649040481e-06,0.0297582545341664,0.0101929408161977,0.248725635959324,0.296133190118153,-Inf,"25"
"1321",4,1,0.75,0,3,0.0521099034127472,0.0542244588495988,0.0912660872153116,0.939393939393939,0.939393939393939,0.303030303030303,6.66133814775094e-16,6.66133814775094e-16,0.0965461118307893,0.0251778530466451,0.00992283283192055,0.249201349134581,0.341550103187342,-Inf,"25"
"143",4,2,0.75,0.25,1,0.0284396694735991,0.02981113384793,0.0260464731338811,0.727272727272727,0.727272727272727,0.575757575757576,1.02540340662927e-08,1.02540340662927e-08,3.54904554273894e-05,0.0233014294926858,0.00983582056403275,0.163960271057663,0.187041807014068,-Inf,"25"
"1411",4,2,0.75,0.25,2,0.109608060815635,0.107084129872766,0.0670175659378002,0.606060606060606,0.575757575757576,0.393939393939394,5.66495926590527e-06,2.14459172203085e-05,0.0112643737430902,0.0214898009809028,0.00974551220222016,0.162193603822622,0.207664793050588,-Inf,"25"
"1421",4,2,0.75,0.25,3,0.0883534343167746,0.0895307536505496,0.405185853105965,0.757575757575758,0.757575757575758,0.181818181818182,1.59114343922795e-09,1.59114343922795e-09,0.654343284581275,0.0195473804728381,0.00948422161233091,0.165868431564971,0.253081706119777,-Inf,"25"
"153",4,3,0.75,0.5,1,0.190295564195642,0.195017315049818,0.209767974103451,0.212121212121212,0.212121212121212,0.575757575757576,0.453494735227044,0.453494735227044,3.54904554273894e-05,0.0188111810004518,0.00968397984011576,0.0795538129256946,0.100120048019208,-Inf,"25"
"1511",4,3,0.75,0.5,2,0.103123354394714,0.102568502497768,0.0199825460423707,0.242424242424242,0.242424242424242,0.545454545454545,0.289923866082407,0.289923866082407,7.4345846363566e-05,0.0183515683332436,0.00920228631729137,0.0758955251683573,0.120743034055728,-Inf,"25"
"1521",4,3,0.75,0.5,3,0.0407756703762573,0.0407696449526063,0.195955934037074,0.424242424242424,0.424242424242424,0.151515151515152,0.00479335061830666,0.00479335061830666,0.851010941578351,0.0177962246936133,0.00866291384633271,0.0744857020073476,0.166159947124917,-Inf,"25"
"163",4,5,0.75,1,1,0.102191787495385,0.0995609282397216,0.111062913784977,0.424242424242424,0.424242424242424,0.242424242424242,0.00479335061830666,0.00479335061830666,0.286754308659872,0.0177779183429353,0.0089846966636602,-0.0646734909221279,0.0885588558855885,-Inf,"25"
"1611",4,5,0.75,1,2,0.157933362075238,0.159626696816694,0.0572365979825387,0.575757575757576,0.575757575757576,0.181818181818182,2.14459172203085e-05,2.14459172203085e-05,0.654343284581275,0.0179870648188772,0.0090235615915011,-0.068876088911671,0.113463070444976,-Inf,"25"
"1621",4,5,0.75,1,3,0.0990595821988776,0.0996802763287588,0.165196684987603,0.515151515151515,0.515151515151515,0.303030303030303,0.000236977385282611,0.000236977385282611,0.0965461118307893,0.0182730610699714,0.00932454304171238,-0.0708672531169006,0.159019560492635,-Inf,"25"
"173",5,1,1,0,1,0.149018666743713,0.161201050114054,0.0760329167210322,1,1,0.133333333333333,0,0,0.952477909353765,0.0168270860800679,0.00955054257523359,0.318087016451463,0.347643097643098,-Inf,"25"
"1711",5,1,1,0,2,0.0822158594434626,0.0784114890805497,0.278020418656133,0.966666666666667,0.966666666666667,0.7,1.11022302462516e-15,1.11022302462516e-15,2.50001183199622e-07,0.0153397331317063,0.00882993548138036,0.31324975743958,0.359953703703704,-Inf,"25"
"1721",5,1,1,0,3,0.0593407820849916,0.0605728297282064,0.0784074821804872,1,1,0.433333333333333,0,0,0.00715326632065483,0.0144683802823113,0.00864480721465283,0.320649597438899,0.400590150590151,-Inf,"25"
"183",5,2,1,0.25,1,0.22506257736378,0.224888517191899,0.154697170212697,1,1,0.2,0,0,0.594070629775938,0.0133632755693194,0.0086823462091553,0.232724527442805,0.258246178600161,-Inf,"25"
"1811",5,2,1,0.25,2,0.119072154143292,0.12328327201685,0.0471139004697341,0.9,0.9,0.466666666666667,5.78870285039557e-13,5.78870285039557e-13,0.00253006223626984,0.0129441932547182,0.00859057211789332,0.232515880810805,0.270556784660767,-Inf,"25"
"1821",5,2,1,0.25,3,0.0408253337211857,0.0418560862519348,0.0932023804518815,0.933333333333333,0.933333333333333,0.266666666666667,2.99760216648792e-14,2.99760216648792e-14,0.239073002480186,0.0131358798562375,0.00840503546749059,0.239615988360544,0.311193231547214,-Inf,"25"
"193",5,3,1,0.5,1,0.021401355810201,0.019282713979621,0.0203468172653896,0.966666666666667,0.966666666666667,0.2,1.11022302462516e-15,1.11022302462516e-15,0.594070629775938,0.0127839472407228,0.0088348493676554,0.146551370572834,0.174081237911025,-Inf,"25"
"1911",5,3,1,0.5,2,0.00799323391792661,0.00813481265933618,0.0471108596009498,0.4,0.4,0.633333333333333,0.0156433904967548,0.0156433904967548,5.79548197388036e-06,0.0126907263872395,0.00843889760978163,0.144569283167193,0.186391843971631,-Inf,"25"
"1921",5,3,1,0.5,3,0.0105400857759026,0.0114746328942979,0.140247345112999,0.633333333333333,0.633333333333333,0.1,5.79548197388036e-06,5.79548197388036e-06,0.998839375636276,0.0130807204343323,0.00826298358516749,0.142271418478666,0.227028290858078,-Inf,"25"
"203",5,4,1,0.75,1,0.0104969408530156,0.00931282350227071,0.178935158956541,0.566666666666667,0.533333333333333,0.2,8.73780359132992e-05,0.000293340549136101,0.594070629775938,0.0127471313466071,0.00841385849014838,0.0663603537897866,0.0966420966420967,-Inf,"25"
"2011",5,4,1,0.75,2,0.0223832394995266,0.0206838568762464,0.247071456113152,0.566666666666667,0.566666666666667,0.2,8.73780359132992e-05,8.73780359132992e-05,0.594070629775938,0.0128508808909845,0.00830859102005028,0.0668646463939162,0.108952702702703,-Inf,"25"
"2021",5,4,1,0.75,3,0.0278909567216361,0.026914759486861,0.105234416641862,0.366666666666667,0.366666666666667,0.166666666666667,0.0345800849633346,0.0345800849633346,0.807963154090164,0.0132293913682906,0.00854440943567365,0.0677792939091808,0.14958914958915,-Inf,"25"
"114",1,2,0,0.25,1,0.00865193731523592,0.00958216240469264,0.0171418977124905,0.354838709677419,0.354838709677419,0.451612903225806,0.0395612261972091,0.0395612261972091,0.00317828733197323,0.012587632939482,0.00954543666861528,-0.0832210891509198,0.165217391304348,-Inf,"33"
"25",1,2,0,0.25,2,0.0149524605693782,0.0145217068291663,0.0537146923437824,0.483870967741935,0.483870967741935,0.193548387096774,0.00117458444883223,0.00117458444883223,0.615053935325554,0.019930796725909,0.00568726392523215,-0.0780452150857732,0.13125,-Inf,"33"
